Nombre Completo,Institución de Adscripción,Área del Conocimiento
DRA. AVENDAÑO VAZQUEZ SELMA ERENDIRA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. REYES GRAJEDA JUAN PABLO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. PEREZ CARREON JULIO ISAEL,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DRA. LIZARRAGA SANCHEZ FLORIA JOSEFINA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CEBALLOS CANCINO GISELA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MARTINEZ HERNANDEZ ANGELICA GRACIELA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. CENTENO CRUZ FEDERICO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
M. EN C. FERNANDEZ LOPEZ JUAN CARLOS,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. RAMIREZ SALAZAR ERIC GUSTAVO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MORAN RAMOS SOFIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. MARTINEZ MARTINEZ EDUARDO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DRA. APARICIO BAUTISTA DIANA IVETTE,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. ROQUE RAMIREZ BLADIMIR,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. SANDOVAL MOTTA SANTIAGO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: BIOLOGÍA Y QUÍMICA
DR. HERNANDEZ LEMUS ENRIQUE,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. RANGEL ESCAREÑO CLAUDIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. ESPINAL ENRIQUEZ JESUS,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. TOVAR ROMERO HUGO ANTONIO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. DE ANDA JAUREGUI GUILLERMO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. FRESNO RODRIGUEZ CRISTOBAL,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
MED. CARNEVALE CANTONI ALESSANDRA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. OROZCO OROZCO LORENA SOFIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. NICOLINI SANCHEZ JOSE HUMBERTO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. MELENDEZ ZAJGLA JORGE,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ALAEZ VERSON CARMEN,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. SALDAÑA ALVAREZ YOLANDA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. HIDALGO MIRANDA ALFREDO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. TEJERO BARRERA MARIA ELIZABETH,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. CORDOVA ALARCON EMILIO JOAQUIN,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. VELAZQUEZ CRUZ RAFAEL,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ROMERO HIDALGO SANDRA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. VILLARREAL MOLINA MARIA TERESA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. JIMENEZ MORALES SILVIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ANTUNA PUENTE BARBARA PATRICIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. ARELLANES ROBLEDO JAIME,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. OROZCO SOLIS DAVID RICARDO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CUEVAS CORDOBA BETZAIDA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. JACOBO ALBAVERA LEONOR,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. GONZALEZ COVARRUBIAS MIRELLE VANESSA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CONTRERAS CUBAS CECILIA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. GARCIA ORTIZ HUMBERTO,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. MENDOZA CAAMAL ELVIA CRISTINA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. MORALES MARIN MIRNA EDITH,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. DOMINGUEZ PEREZ MAYRA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. RANGEL LOPEZ EDGAR,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
DRA. ALCARAZ ZUBELDIA MIREYA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
DR. JARA PRADO AURELIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
DR. MONTES DE OCA BALDERAS PAVEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
M. EN C. MONTES DEL CARMEN PEDRO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
M. EN C. RUIZ SANCHEZ ELIZABETH,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
DR. ESTUDILLO HERNANDEZ JESUS ENRIQUE,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área II: BIOLOGÍA Y QUÍMICA
DR. LARRAGA GUTIERREZ JOSE MANUEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. GARCIA GARDUÑO OLIVIA AMANDA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
M. EN C. GALVAN DE LA CRUZ OLGA OLINCA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. PAZ RODRIGUEZ FRANCISCO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. SANCHEZ GUZMAN MARIA ALEJANDRA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. ORTIZ ISLAS EMMA ELISA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área VII: INGENIERÍAS
DR. PAZ TRES CARLOS HERLINDO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. SOTELO MORALES JULIO EVERARDO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. RIOS CASTAÑEDA LUIS CAMILO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. CORONA VAZQUEZ TERESITA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. SOTO HERNANDEZ JOSE LUIS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. AGUIRRE CRUZ MARIA LUCINDA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
QUIM. PALENCIA HERNANDEZ MARIA GUADALUPE,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. ORDOÑEZ LOZANO GRACIELA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
QUIM. GARCIA MENDOZA ESPERANZA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ROJAS CASTAÑEDA PATRICIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
BIOL. GUEVARA SALAZAR PATRICIA DORA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. MENDEZ ARMENTA MARISELA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. SANTAMARIA DEL ANGEL ABEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. GONZALEZ ESQUIVEL DINORA FABIOLA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. GALVAN ARZATE SONIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. DE LA CRUZ AGUILERA DORA LUZ,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. OSORIO RICO LAURA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MTRA. CUSTODIO RAMIREZ VERONICA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. PEREZ SEVERIANO FRANCISCA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ORTIZ PLATA ALMA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CASTRO TORRES NELLY NORMA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. RODRIGUEZ AGUDELO OLGA YANETH,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. MANJARREZ MARMOLEJO JOAQUIN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. ALONSO VANEGAS MARIO ARTURO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. BOLL WOEHRLEN MARIE CATHERINE,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. DIAZ RUIZ MARIA DE LOS ANGELES ARAC,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. TREJO SOLIS MARIA CRISTINA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. YESCAS GOMEZ PETRA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. NAVA RUIZ CONCEPCION,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. MONTES LOPEZ SERGIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. ARAUZ GONGORA ANGEL ANTONIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. MONROY JARAMILLO NANCY,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CHANEZ CARDENAS MARIA ELENA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. AGUILERA HERNANDEZ PENELOPE,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. TENA SUCK MARTHA LILIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. REMBAO BOJORQUEZ JESUS DANIEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. MALDONADO JIMENEZ PERLA DEYANIRA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. OCHOA MORALES ADRIANA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. PINEDA OLVERA BENJAMIN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. RAMIREZ BERMUDEZ JESUS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. GONZALEZ HERRERA IRMA GABRIELA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. SALINAS LARA CITLALTEPETL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. PALOMARES ALONSO FRANCISCA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. CELIS LOPEZ MIGUEL ANGEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CAMPOS PEÑA VICTORIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. DE LA FUENTE SANDOVAL FRANCISCO CAMILO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. MARTINEZ JUAREZ IRIS ENRIQUETA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. MORENO JIMENEZ SERGIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ADALID PERALTA LAURA VIRGINIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. PORTOCARRERO ORTIZ LESLY AMINTA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. PEREZ NERI PEDRO IVAN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. PEREZ DE LA CRUZ VERONICA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. GUERRERO CAMACHO JORGE LUIS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. ESPINOLA NADURILLE MARIANA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. CHAVEZ OLIVEROS MIREYA ALEJANDRA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. FLORES RIVERA JOSE DE JESUS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. RUBIO OSORNIO MARIA DEL CARMEN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. SERRANO GARCIA NORMA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. MARTINEZ LAZCANO JUAN CARLOS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. SOSA ORTIZ ANA LUISA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ROJAS TOME IRMA SUSANA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
BIOL. SANCHEZ GARCIA AURORA DEL CARMEN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. OROZCO IBARRA MARISOL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. TORRES RAMOS MONICA ADRIANA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. RUBIO OSORNIO MOISES,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. FRANCO PEREZ JAVIER EDGAR,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. SAN JUAN ORTA DANIEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. CARDENAS HERNANDEZ GRACIELA AGAR,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. SOLIS VIVANCO RODOLFO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. SILVA ADAYA IRMA DANIELA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. CERVANTES ARRIAGA GREGORIO AMIN,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. RODRIGUEZ VIOLANTE MAYELA DE JESUS,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. GONZALEZ GUEVARA EDITH,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. BALLESTEROS ZEBADUA PAOLA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MTRA. CAMACHO MOLINA ALEJANDRA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. CRAIL MELENDEZ EDGAR DANIEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. GONZALEZ AGUILAR ALBERTO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. CALLEJA CASTILLO JUAN MANUEL,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. RODRIGUEZ PEREZ CITLALI EKATERINA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. MARRUFO MELENDEZ OSCAR RENE,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ZAVALA TECUAPETLA CECILIA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. TRISTAN LOPEZ LUIS ANTONIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. MAGAÑA MALDONADO ROXANA,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. ZENTENO CASTELLANOS MARCO ANTONIO,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,Área III: MEDICINA Y CIENCIAS DE LA SALUD
