artist.name,terms,release.name
Blackalicious,hip hop,Nia
The Shirelles,doo-wop,Where Or When
Burning Spear,roots reggae,Soul Kitchen (The Original Motion Picture Soundtrack)
Alice In Chains,grunge,Jar of flies / Facelift / Dirt
Toots & The Maytals,reggae,From Bam Bam To Cherry Oh! Baby
Fever Ray,electronic,When I Grow Up
Gipsy Kings,flamenco,Somos Gitanos
Flor Silvestre,ranchera,Flor Silvestre
Patrick Lamb,bossa nova,Soul of a Free Man
Asleep At The Wheel,western swing,Texas Gold/Comin' Right At Ya
Amoral,death metal,Wound Creations
Melvins,sludge metal,Pick Your Battles
L.A. Guns,heavy metal,Cocked & Re-Loaded (Millenium Edition)
Stan,power pop,Everything
S.U.P,doom metal,The Holy Bible 1992-2002
Butthole Surfers,noise rock,Butthole Surfers  + PCPpep
Los Brujos,kraut rock,San Cipriano
Janis Joplin,blues-rock,Janis
Vivian,happy hardcore,Nordic Hotel
Slipknot,rap metal,9.0 Live
Varios,electroclash,Joaquim Homs - MAosica de Cambra
Atom,tech house,Ikebana : Merzbow's Amlux Rebuilt_ Reused and Recycled
Jimmy Wyble,western swing,Goodbye My Heart - Country
Die Symphony,industrial rock,Online Exclusive: Demos & Rarities
Charlie Peacock,ccm,West Coast Diaries Vol.1-cass.
Paul Geremia,country blues,Screamin' and Hollerin' The Blues
Andy Griffith,comedy,Love To Tell Story-25 Hymns
Walter Trout,blues-rock,Positively Beale Street
Monique Marvez,stand-up comedy,The Reality Chick
Dancecore Allstars,hard trance,When The Sun Comes Out
Sean Kingston,reggae,Face Drop
Blind Lemon Jefferson,country blues,Southern Blues Volume 2
Mei Chi Chiang,chinese music,Lover's Poem
Gabriel Yared,latin jazz,Azur et Asmar
Sergio Dalma,ballad,Cuerpo A Cuerpo
Zombina & The Skeletons,psychobilly,Paid In Black Vol.2
The Jane Shermans,dance-punk,Popular Music Social Condition
Bon Jovi,rock,Whole Lot Of Leavin'
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,chinese music,Musica Sacra Nella Napoli del '700
Blind Boy Fuller,country blues,Goin' Mad Blues Vol. 6
Bescenta,dancehall,Genuine
"Dave ""Baby"" Cortez",instrumental rock,Fill It! - I Love the Fifties
Bloomfield,deep house,En Vogue ( Bonus Version)
Andrew W.K.,alternative metal,Close Calls With Brick Walls / Mother of Mankind
John Debney,pop rock,Elf
Rakim,hip hop,The 18th Letter
Tommy James And The Shondells,brill building pop,Anthology
Coraleena Ellis,lovers rock,Let Me Be Free
Terry Callier,soul jazz,I Just Can't Help Myself
The Chieftains,irish folk,Further Down The Old Plank Road
Count Ossie,roots reggae,Tales Of Mozambique
Trivium,alternative metal,Shogun
Charlie Peacock,ccm,Last Vestiges of Honor
Elmer Bernstein,orchestra,My Left Foot
Peter Spence,lovers rock,Lovers Lounge Venue 2
Vusi Mahlasela,world beat,Guiding Star (Naledi Ya Tsela)
Eddie Cantor,easy listening,The Fabulous Eddie Cantor
Lionel Rogg,early music,Buxtehude: Organ Works
Marimba Alma De Chiapas De Juan Palacios,marimba,Nuestro Mexico
Precious Bryant,blues,Fool Me Good
Casiotone For The Painfully Alone,trip hop,Town Topic EP
Singing Melody,dancehall,Reggae Hits Volume 23
Jeff Wahl,meditation,Guitarscapes
UFO,heavy metal,The Official Bootleg Box Set
Kapelle Herrenweide,humppa,Kavalierstart
Jamie Richards,honky tonk,Sideways
Marcelo Radulovich,experimental pop,Marcelo Radulovich
Antonio Koudele,guitar,"HarpGuitar ""Antonio Koudele Plays Evergreens"" Vol.1"
John Debney,pop rock,End Of Days
Sonic Subjunkies,jungle music,Harder Than The Rest
Backstreet Boys,teen pop,This Is Us
Lizzy Borden,heavy metal,The Murderess Metal Road Show
John Stevens,free jazz,Red
Eddie Turner,blues-rock,The Turner Diaries
Pretty Boy Floyd,glam metal,Porn Stars
DJ Slugo,bass music,Jukin 4 the Haters Vol.2
Chris Rodriguez,progressive house,Beggar's Paradise
Neeme Jarvi,easy listening,KODALY: Dances of Galanta / Hary Janos Suite / Peacock Variations
Jack Off Jill,dark wave,Humid Teenage Mediocrity
K's Choice,post-grunge,Live
Los Fabulosos Cadillacs,ska,Bares y Fondas
NAZCA PERU,folk,INKARU
Hatesex,dark wave,Unwant
The Impressions,chicago soul,Soul Legends
Sheila Walsh,ccm,FOR A TIME LIKE THIS
John Hiatt,southern rock,Greatest Hits: The A&M Years '87- '94
Kool Moe Dee,hip hop,Knowledge Is King
Carlos Ponce,male vocalist,Carlos Ponce
Solomon,hip pop,Solomon plays Beethoven
Desert Dwellers,progressive house,DownTemple Dub: Flames
D.A.D.,rock 'n roll,Osaka After Dark
Brand X,jazz fusion,Morrocan Roll
Black Eyed Peas,hip hop,Kids Sing Along Pac
Lizzy Borden,heavy metal,Deal With The Devil
The Merry Macs,big band,Something Old_ New_ Borrowed And Blue
Righteous Brothers,blue-eyed soul,Classic
Pinch feat. Rudey Lee,dubstep,Box Of Dub 2: Dubstep And Future Dub
Casual,hip hop,Casual
The Tragically Hip,roots rock,World Container
Scott Krippayne,ccm,Gentle Revolution
Michael Jackson,motown,HIStory - PAST_ PRESENT AND FUTURE - Book I
Sui Generis,cumbia,Adios Sui Generis Vol III
Flowin Immo et Les Freaqz,hip hop,Immoment
Bebo Norman,ccm,Try
Photek,jungle music,Solaris
Isabel Pantoja,flamenco,A Tu Vera
BigElf,stoner rock,Cheat the Gallows
Orquesta Sublime,salsa,Sabor A Cuba
Juanes,rock,La Vida Es Un Ratico En Vivo
Bobby Pulido,tejano,EnsA(c)A+-ame
Mish Mash,vocal house,Mish Mash_ Le Blues European: Musique Slave Et Klezmer
Alex Fong,cantonese pop,Hao Lai Hao Qu
Gustavo Santaolalla,folk,Nanga Parbat (Original Soundtrack)
Isaacs,bluegrass,Mountain Homecoming - Volume 1
Mike And The Mechanics,pop rock,Mike & The Mechanics Hits
Joe Rogan,comedy,I'm Gonna Be Dead Someday
In Extremo,heavy metal,Am goldenen Rhein
Who Made Who,disco,The Remix Collection
Don Francisco,ccm,Signature Songs
Mavado,reggaeton,Gangsta For Life: The Symphony Of David Brooks
Doug Sahm Tex Mex Trip,blues-rock,Groover's Paradise
Hanoi Rocks,heavy metal,Another Hostile Takeover
Orquesta Sublime,salsa,Encuentro De Charangas
Nicola Fasano feat. Paula B.,progressive house,Just House Vol.1
Staatskapelle Dresden/Herbert Blomstedt,greek,Grieg: Peer Gynt_ Piano Concerto & Songs
Ocho y Media,salsa,Sigue!
Atari Teenage Riot,breakcore,Live In Philadelphia
RUN-DMC,hip hop,Tougher Than Leather
Bill & Gloria Gaither,southern gospel,Freedom Band
Danny Elfman,soundtrack,Standard Operating Procedure
Otis Spann,piano blues,Spanning A Lifetime
Daniela DessA!,opera,Soundtrack 2
Atman,downtempo,The Lonely Road
Frank Ifield,country rock,The Best Of The EMI Years
Clara Nunes,samba,Bis - Clara Nunes
Fyah Blaze,reggae,Rustic
Gonzalo Rubalcaba,latin jazz,Solo
George Lopez,california,Team Leader
Cam'Ron / Juelz Santana,hip hop,Come Home With Me
Minipop,dream pop,A New Hope
Krystof,soft rock,Mikrokosmos
Jeff Beck Group,blues-rock,Original Album Classics
Katie Armiger,singer-songwriter,Katie Armiger
The Del McCoury Band,bluegrass,Celebrating 50 Years Of Del McCoury
Mack and Jamie,stand-up comedy,Extreme Channel Surfing
F4,cantonese pop,Discobeatles
Dhamika,chill-out,Levitation Gravitation
K.T. Oslin,country rock,Tribute To Piaf
Taste,blues-rock,On The Boards
Cece Winans,ccm,Everlasting Love
Joanna Connor,blues-rock,Nothing But The Blues
Ben E. King,brill building pop,Street Tough
Toots & The Maytals,reggae,Pressure Drop: The Definitive Collection
The LeRoi Brothers,roots rock,Happy Birthday Buck - A Texas Salute to Buck Owens
Hemdale,grindcore,Rad Jackson
Hot Tuna,blues-rock,Hot Tuna: Live
Year Long Disaster,stoner rock,Black Magic; All Mysteries Revealed
Sam Fan Thomas,soukous,Makassi
Jimmy Witherspoon,jazz blues,Blowin' In From Kansas City
Bob Wills,western swing,Backline Volume 4
Bacilos,vallenato,Sinverguenza
Jimmy McGriff,jazz funk,The Best of the Headfirst Years
Dobet GnahorA(c),blues-rock,Djekpa la you
Terminal 11 feat. b.b0Nd,breakcore,Open Up And Say...@<%_|^[!]: A Tigerbeat6 Compilation
Smidi Beats,nu jazz,Las Vegas Number 1 Producer
Red I Flight,death core,The Years
Headhunter,dubstep,Rebirth
Adrenaline,modern rock,Castrum Doloris
Shinehead,dancehall,The Real Rock
3 Steps Ahead,gabba,Most Wanted & Mad
Fat Joe,gangster rap,Loyalty
Sergio Franchi,ballad,This Is Sergio Franchi
BA(c)nabar,chanson,Reprise Des NA(c)gociations
Cool cavemen,funk rock,Multipolar
Johnny Osbourne,roots reggae,Rougher Than Them
Roni Size,jungle music,Roni Size Reprazent - New Forms2
Singing Melody Feat. Robyn,dancehall,Expression
Sneaky Sound System,alternative dance,I Love It
Bally Sagoo,bhangra,Hanji
Los Titanes,salsa,Rumba Que Te Tumba
Blue Rodeo,country rock,Small Miracles
Whitney Cummings,stand-up comedy,Emotional Ninja
Willie Clayton,chicago soul,Changing Tha Game
Justin,future jazz,JTV
Nick Cave & The Bad Seeds,rock,Nocturama
Nando Lauria,latin jazz,Latino Christmas
Charlie McCoy,country gospel,HarpinA' The Blues
Andy Andy,bachata,Tu Me Haces Falta
Danny Wright,easy listening,An Intimate Christmas
Leon Russel,blues-rock,Thank You Edith! (Tribute to Edith Piaf)
Ross,italian disco,I Promise My Heart
Oak Ridge Boys,classic country,Early Gospel Recordings
Kerson,brill building pop,Club Work Session Vol.03
JoAPSo Gilberto / Gilberto Gil / Caetano Veloso,brazilian jazz,Brasil
Army of the Pharoahs,tango,The Torture Papers
Jean Gabin,europop,The Greatest Hits from 40's and 50's_ Vol. 28
The Beatles,merseybeat,Here There And Everywhere
Streetwize,smooth jazz,Put U To Bed
Cheo Feliciano,salsa,Latin Nights
Screamin' Jay Hawkins,rock 'n roll,I Put a Spell on You: The Best Of
Atman,downtempo,97 | 07
A-Studio,progressive house,S.O.S.
Georges Delerue,smooth jazz,Police Python 357 / L'Important C'Est D'Aimer/Paul Gaugu In/ Malpertuis / Jamais Plus Toujours
Bellatrax feat. Tina Cousins,uk garage,Can't Hold Back
Forensics,dubstep,On a Bridge Atop the Heap of Friends Who Jumped
Ice Cube,gangster rap,Laugh Now_ Cry Later
Bobby Capo,latin jazz,Bobby Capo Selected Hits Vol. 2
Sandy Posey,ballad,One Fine Day
Ice Cube,gangster rap,The Predator (World) (Explicit)
US Coast Guard Band,patriotic,Liberty For All!
The Winans,ccm,Everything Will Be Alright_ The Power of Gospel
Kathleen Madigan,comedy,Kathleen Madigan
Stephan Micus,free improvisation,Desert Poems
Radney Foster,lovers rock,Another Way To Go
The Clark Sisters,ccm,Family Christmas
A Challenge Of Honour,jungle music,Wilhelm Gustloff
Marisela,cumbia,Borron Y Cuenta Nueva
Ed Calle,latin jazz,Twilight
Johnny Keating & All Stars,easy listening,Ultraviolet
Boards of Canada,trip hop,Music Has The Right To Children
MU330,ska punk,Chumps On Parade
Simon & Garfunkel,folk-pop,The Collection
Ed Ames,ballad,Reader's Digest Music: Ed Ames - The Reader's Digest Sessions_ Vol. 1
Jah Cure,roots reggae,The Universal Cure
Nickelback,alternative metal,Photograph [Commercial Single]
Ron Goodwin,easy listening,Battle Of Britain
George Nooks,dancehall,Standing By
Willie Clancy,disco,Willie Clancy The Gold Ring
Keb' Mo',blues,Keep It Simple
Bela Fleck And The Flecktones,bluegrass,Bela Fleck and the Flecktones
P.o.d,alternative metal,When Angels and Serpents Dance
Statues,power pop,Aux
The Jackson Southernaires,southern gospel,Thank You Mama For Praying For Me...
The Del McCoury Band,bluegrass,Del And The Boys
Vivian,happy hardcore,Nordic Hotel
Linkin Park,rap metal,Hybrid Theory
Whitney Cummings,stand-up comedy,Emotional Ninja
Ronnie Milsap,country rock,The Essential Ronnie Milsap
David Bowie,dance rock,Time Will Crawl E.P.
The Roots,funk,The Roots Come Alive
The Flies,freakbeat,The Flies
EPMD,hip hop,Business As Usual
Bruce BecVar,meditation,Rhythms Of Life
Between The Buried And Me,alternative metal,Between The Buried And Me
Deborah Coleman,blues-rock,Soft Place To Fall
Dark Fortress,sympho black metal,Ylem
Time Factory,hip house,No borders
Emilio,tejano,10 Aniversario
Ayo,neo soul,Down On My Knees
Los AutA(c)nticos Decadentes,cumbia,Vinyl Replica: El Milagro Argentino
The Germs,rock,Germicide
Deathstar,straight edge,The Triumph
Donna The Buffalo,zydeco,Silverlined
Mindy McCready,female vocalist,Mindy McCready
Elmore James,chicago blues,Dark And Dreary
Korn,rap metal,Live & Rare
Pat Travers,blues-rock,The Very Best Of
Bobby Russell,pop rock,Children's Christmas Party
Lisa Lisa & Cult Jam (featuring Full Force),freestyle,Super Hits
Sugarman Three,soul jazz,Soul Donkey
BT,electronica,The Dungeonmaster's Guide
Gisele MacKenzie,easy listening,The Very Best of Gisele MacKenzie
Faking David,breakbeat,Freedom Of Expression
Eric Burdon,blues-rock,Good Times - A Collection
Geggy Tah,post-grunge,Into the Oh
Seamus Egan,irish folk,Traditional Music Of Ireland
Bumblefoot,alternative metal,Abnormal
Bukka White,delta blues,The Panama Limited
Foxy Brown / Total,hip hop,Chyna Doll
:Blacks On :Blondes,ghetto tech,Travel Without Leaving The Bed
David Gilmour Featuring Richard Wright,blues-rock,Arnold Layne
Schizoid,breakcore,Static Dynamics
Red Hot Chili Peppers,rap rock,By The Way
Seven Mary Three,post-grunge,Rock Crown
Irini Merkouri,pop folk,Na Fisai I Anixi
Willie Bobo,latin jazz,Latin Jazz (Jazz Club)
Johnny Pearson,orchestra,Industrial Panorama
The Jets & The Sharks & Leonard Bernstein&The New York Philharmonic Orchestra,freestyle,West Side Story - Original Broadway Cast
Elva Hsiao,j pop,The Fifth Ave
Alexis HK,chanson,Les Affranchis
Tha Liks featuring King T,los angeles,X.O. Experience
The Family Stand,jazz funk,Moon In Scorpio
Buddy Johnson,jump blues,Jukebox Hits 1940-1951
Andy & Lucas,flamenco,Ganas De Vivir
Peter Tosh,roots reggae,Bush Doctor
Blind Willie Johnson,texas blues,The Roots Of Rap: Classic Recordings From The 1920s & 30s
Onesidezero,post-grunge,Is This Room Getting Smaller?
Fito Paez,rock 'n roll,ConfiA!
Wet Wet Wet,blue-eyed soul,All I Want
Lou Reid & Carolina,bluegrass,My Own Set Of Rules
Jacob Young,cool jazz,This Is You
Rhian Sheehan,trip hop,Paradigm Shift
The Fabulous Thunderbirds,blues-rock,Powerful Stuff
Leo Ku,cantonese pop,Steel Box Collection - Leo Ku
Chris Vickery,jazz funk,Temporary Measures
Riviera Regime,rapcore,Thugz Of War
Kool Keith,dirty rap,Official Space Tape
Kanye West / Adam Levine,hip hop,Heard 'Em Say
Mikey Dread,roots reggae,Rockers Vibration
Lou Ann Barton,texas blues,An Austin Rhythm And Blues Christmas
Rhian Sheehan,trip hop,Paradigm Shift
Mario Rosenstock,irish,Gift Grub 8 - The G Factor
Alejandro Lerner,pop rock,20 AA+-os
Cannon's Jug Stompers,jug band,The Cornshucker's Frolic: Classic Recordings From The 1920's & 30's_ Vol. 2
The Ghost Of Lemora,dark wave,Reach For The Ground
Robin Frederick,chill-out,How Far? How Fast?
Y&T,heavy metal,Open Fire
Dolores Keane,irish folk,Solid Ground
Rev. Timothy Wright,gospel,"Who's On The Lord's Side ""Live"
Earl Hooker,chicago blues,Two Bugs And A Roach
"MichA""le Bernard",chanson,Mes premiers vinyls
Billy Butler,jazz funk,Billy Butler's Sugar Candy Lady
Usher,hip hop,Usher
Bob Marley,reggae,Lively Up Yourself
Yodi's,ghetto tech,"ZA""lA(c)"
Shade Sheist / DJ Vice / DJ Echo / Damizza,uk garage,Informal Introduction
Andy Russell,world,Great Gentlemen Of Song / Spotlight On Andy Russell
Eddie Cano,latin jazz,Here is Fabulous Eddie Cano
Placebo,british pop,The Bitter End
David Meece,ccm,Front Row
A Tribe Called Quest,jazz rap,The Best Of
Kings Of Leon,southern rock,Charmer
Pentangle,british invasion,Sweet Child
Jaime Urrutia,rockabilly,En Joy
Cobra Killer,folk rock,Cobra Killer
Shaman,progressive trance,Irresistible Meltdown Vol. 2
Nicholas,ccm,Apiti_ vol. 3
Marvin Sapp,gospel,Be Exalted
Tel Basta,world beat,Lickerish
Van Halen,heavy metal,Fair Warning
Teenage Fanclub,power pop,Howdy!
Epidemic,post-grunge,Epidemic
Dark Fortress,sympho black metal,SA(c)ance
Eddie Turner,blues-rock,Rise
Los Chichos,flamenco,Amor Y Ruleta
Birmingham Jubilee Singers,gospel,Birmingham Jubilee Singers Vol. 2 (1927-1930)
Jimmy Wakely,classic country,Vintage Collections
Deodato,jazz funk,Night Cruiser
Jeff & Sheri Easter,southern gospel,By Request
X-Raided,gangster rap,The Unforgiven Vol. 2.5
Kary Ng,cantonese pop,Lian Ai Tian Cai
Jeff Beck Group,blues-rock,Original Album Classics
Malina,crunk,Malina.Org.azm.ru
Mista,dubstep,Mista
Steve Smith,jazz funk,This Town
Sugar Minott,roots reggae,Dance Hall Showcase Vol. II
Cedric Gervais Featuring Caroline,progressive house,Spirit in My Life
The King Sisters & Alvino Rey,calypso,In The Mood
Suzi Quatro,glam rock,The Wild One - The Greatest Hits
Humanzi,dance-punk,Diet Pills & Magazines
Gene Latter,northern soul,Groove It
Billy May & His Orchestra,space age pop,All Of Me
Kings Of Leon,southern rock,Youth & Young Manhood
Kurupt_ Rosco_ Jayo Felony & 40 Glocc,gangster rap,Kalifornia Love
Christie Hennessy,deep house,The Platinum Collection
The Jeremy Spencer Band,blues-rock,Flee
The Stooges,experimental rock,1970: The Complete Fun House Sessions
Candy Lo,chinese music,Miao......
Flamin' Groovies,power pop,Teenage Head
Eddie Cantor,easy listening,All Time Greats
Marga Gomez,comedy,Hung Like A Fly
Roberto Roena,salsa,Apollo Sound V
Tum Tum [DJ Drop Mix],dirty south rap,The Definition Of A ZillaNaire [DJ Drop Mix]
Rocio Jurado,bulerias,15 Exitos Originales Con Rocio Jurado
Salieri,requiem,Electric Doorbells
Royal S,roots reggae,Attitude Identitaire
Steve Chou,chinese music,Happy Etude
The Brooklyn Tabernacle Choir,gospel,Praise Him...Live!
Everyday Sunday,post-grunge,Wake Up! Wake Up!
D.O.W.N.,southern rock,Southern Slang (Chopped & Screwed)
Buckwheat Zydeco,zydeco,Best Of/20th Century
Charley Pride,honky tonk,Super Hits
Louis Prima & Keely Smith,space age pop,The Vegas Years
Yami Bolo,roots reggae,Reggae Superstars 9 & 10
Killswitch Engage,alternative metal,Killswitch Engage [Special Edition]
Pardesi,bhangra,Balle! Balle! Sounds of Bhangra
Andy Griffith,comedy,The Christmas Guest
Crazy Girl,electro,Get Picked Up
Les Ogres De Barback,chanson,Irfan_ le hA(c)ros
Memphis Jug Band,country blues,The Best Of The Memphis Jug Band
Nelson Ned,latin jazz,Canta Lo Mejor De Los Mejores
Juan Farcik,tech house,Wet Memory
"MichA""le Arnaud",chanson,The Greatest Hits from 40's and 50's_ Vol. 40
Saigon Kick,hard rock,Live Around The World 1991 - 1996
Nicho Hinojosa,male vocalist,Nicho... En El Bar 2
Lyrics Born,hip hop,Same !@#$ Different Day
The Refreshments,post-grunge,24-7
Michael Jackson,motown,Soulsation! The 25th Anniversary Collection
X-Raided,gangster rap,X-Filez V.1: 24 Garden Blocc Classics
The Nelons,ccm,Glad You're Here
DJ Nasty,bass music,Tha Remixes Vol. 2
Incubus,funk metal,Live in Malaysia 2004
Irma Thomas,delta blues,Straight From The Soul
RamA3n Vargas;Vesselina Kasarova;Vladimir Jurowski,opera,Massenet: Werther
Sizzla,dancehall,Riddim Driven: Wanted
King Curtis with Jack Dupree,instrumental rock,Blues At Montreux
Omni,modern rock,It Is What It Is
Michael McDonald,ballad,If That's What It Takes
Orchestra e Coro del Palacio de Bellas Artes Di CittA! del Messico_ Oliviero De Fabritiis_ Maria Call,opera,Verdi: Aida
Giuseppi Logan,free jazz,The Giuseppi Logan Quintet
Radio Moscow,blues-rock,Brain Cycles
Vusi Mahlasela,world beat,Miyela Africa
Alacranes Musical,tejano,Los Primeros Exitos Alacraneros
The Roches,singer-songwriter,The Roches
Tam Tam Go!,pop rock,The Platinum Collection
John D. Loudermilk,blues-rock,The Open Mind Of John D. Loudermilk
Tina Ann,progressive house,Situations
Kraftwerk,electronic,The Mix (2009 Digital Remaster)
Conjunto Mar Azul,charanga,Happy Boy
Pumpkin Buzzard,happy hardcore,Perfect Dragon
Margaret Becker,reggae,Simple House
William Orbit,progressive house,Strange Cargo III
Ron Goodwin,easy listening,Battle Of Britain
The Elders,celtic rock,Racing the Tide
Stille Volk,neofolk,Maudat
F-4,cantonese pop,F4-Tu To Na Aai
Doug MacLeod,blues,DUBB
Jimmy Hughes,southern soul,The Best of Jimmy Hughes
Emotion Code,trance,Mesmerise the Future
Stevie Ray Vaughan And Double Trouble,texas blues,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather
L7,grunge,Bricks Are Heavy
Ma Rainey,classic female blues,Mother Of The Blues_ CD E
Bill Perry,blues-rock,Raw Deal
Billy Price_ Fred Chapellier,blues,Night work
Angela Dimitriou,pop folk,Mia Vradia Stin Fantasia No.1
Ann Hampton Callaway,vocal jazz,Easy Living
Corey / Shaquille O'Neal,nu-soul,I'm Just Corey
Hatebreed (int License),hardcore punk,Hatebreed [Explicit]
Moments In Grace,emo,Moonlight Survived
Connie Smith,country gospel,The Essential Connie Smith
Uphill Battle,grindcore,Wreck of Nerves
Barbara Fairchild,country gospel,He Kept On Loving Me
Orquesta AragA3n,charanga,MambA3 InspiraciA3n - Primeras Grabaciones 1953-1955
Wilks featuring pee wee ellis,hip hop,Brightess night
Nick Cave & The Bad Seeds,rock,Murder Ballads
Dave And Ansel Collins,rock steady,Double Barrel
Nine Inch Nails,industrial metal,Survivalism
DASOLA,post-hardcore,Perdus Corps et Biens
K-OS,trip hop,Atlantis - Hymns for Disco.
Pascal Obispo,europop,Un Jour Comme Aujourd' Hui
Bob Sinclar,dance pop,Lala Song The Remixes
John Brown,hard trance,John Brown Or Die: A Revival You Can Believe In
Buddy Miles,blues-rock,Greatest Christmas Hits
Tanto Metro & Devonte,dancehall,Riddim Driven: Coolie Skank
Mau Mau,progressive house,Sauta Rabel
Michael McDonald,ballad,Motown II
Darwin Hobbs,religious music,Mercy
The Black Crowes,blues-rock,The Southern Harmony And Musical Companion
Dee Clark,doo-wop,Greatest Hits
Cocoa Tea,dancehall,Authorized
IYOV,digital hardcore,Allt Ar Skit_ JA$?mt
Claw Hammer,alternative rock,Claw Hammer
Carlos Jimenez,latin jazz,Anita Love's
Timo Maas,progressive house,Dope Radio
Kashief Lindo,lovers rock,Solid Soul
The Almost,post-hardcore,X Christmas
Alas,symphonic metal,Mimame BandoneA3n
Sofi Marinova,pop folk,100 Unforgettable Bulgarian Pop Songs By Songwriter Jivko Kolev - Part I
Los Ninos De Sara,flamenco,Espana tiene sabor
The Gentle Good,sxsw 2007,While You Slept I Went Out Walking
Small Faces,rock 'n roll,Playmates
Jimmy Riley,roots reggae,Love Canticle
Backstreet Boys,teen pop,Black & Blue
1. Futurologischer Congress,kraut rock,Patchwork
Tom Collier,marimba,Malllet Jazz
Heavenly,power metal,Virus
Julien Clerc,chanson,Si J'A(c)tais Elle
Los Morros Del Norte,chorus,El Vaqueton
Moon Mullican,western swing,Moon's Tune
Helen Love,power pop,It's My Club And I'll Play What I Want To
Yuko Kanzaki,japanese,Fuwari
Moonface,progressive house,Discoteca Ep 2
30 Seconds To Mars,rock,30 Seconds To Mars
Suicidal Tendencies,hardcore punk,Still Cyco After All These Years
Grace Gale,alternative metal,Stronger_ Faster_ Science
King Tee,hip hop,Tha Triflin' Album
Alain Morisod,chill-out,20 Melodies pour rever_ Volume 2
Kassav',zouk,Se Nou Manm (Live Au Zenith)
X,heavy metal,At Home With You
Sui Generis,cumbia,Adios Sui Generis Vol III
Eminem,hip hop,Beautiful
Sunnyland Slim,piano blues,Chicago Blues Festival 1974 With Jimmy Dawkins
Stew,cabaret,Something Deeper Than These Changes
Cauda Pavonis,new wave,The Gothic Sounds of Nightbreed Volume 5
Twista,gangster rap,The Day After
Geddy Lee,instrumental rock,My Favorite Headache
Planetakis,electropop,Out of the Club Into the Night
Rick Ross,gangster rap,Legendary
Seal,dance pop,Human Being
The Fureys,irish folk,The Fureys Finest
Jim Jones / Max B,gangster rap,Jim Jones / Hustler's P.O.M.E. (Product Of My Environment)
Simply Red,pop rock,Men And Women
Juana Molina,folktronica,Tres Cosas
BA(c)zu,chanson,BA(c)zu le roi de la fAate
David Meece,ccm,David Meece/Chronology
Ayo,neo soul,Joyful
Red Hot Chili Peppers,rap rock,Snow [Hey Oh] [Live]
Mothers Pride,funk metal,Halfpastheartache
Byzantine,groove metal,Oblivion Beckons
Halfway to Gone,southern rock,Halfway to Gone
Robben Ford,blues-rock,Soul On Ten
Charlie Cruz,salsa,Asi Soy
Jacques Douai,chanson,"Heritage - FlorilA""ge - BAM (1954-1978)"
The Steeles,southern gospel,For The Sake Of The Children
Sleepy John Estes,country blues,Mississippi Delta Blues Jam In Memphis
Beherit,illbient,Drawing Down the Moon
Bobby Darin,brill building pop,Live! At The Desert Inn
Nick Colionne,smooth jazz,Keepin' It Cool
SNAP!,pop rap,Beauty Queen
Elliot Goldenthal,instrumental rock,Titus - Original Motion Picture Soundtrack
Mercedes Castro,folk,Mercedes Castro AcompaA+-ada con Mariachi Y Banda - En vivo
Marco Beltrami,soundtrack,Knowing
Hermeto Pascoal,latin jazz,Slaves Mass
Jedi Mind Tricks,hip hop,Greatest Features
Joe Satriani,instrumental rock,Satriani Live
Michael Stanley Band,heartland rock,You Break It...You Bought It!
Uman,chill-out,Conversations with God: A Windham Hill Collection
John Williams,soundtrack,War of the Worlds
The Gentle Good,sxsw 2007,While You Slept I Went Out Walking
Lauren Wood,soft rock,Lauren Wood
Ray Pillow,country rock,Country And Western - Volume 1
Baby Bash,pop rap,Menage a trois
Mariah Carey,dance pop,The Emancipation of Mimi
Frankie J,pop,The One
George Nooks,dancehall,Better Days
Vangelis,progressive rock,The City
Babylon Disco,breakcore,Natsukashii
Maria Bamford,comedy,The Burning Bridges Tour
Rubyhorse,freestyle,Rise
Tyrone Davis,chicago soul,Call Tyrone
Flora Purim,latin jazz,Perpetual Emotion
THE CHIFFONS,doo-wop,Sweet Talkin' Girls: The Best Of The Chiffons
Marcie Blane,doo-wop,Bobby's Girl - The Complete Seville Recordings
Atman,downtempo,Bar De Lune Presents Buddhist Chillout
Elizabeth Cotten,ragtime,Live!
Sonora Santanera,salsa,La Inspiracion De Agustin Lara
Tommy McLain,swamp pop,Voices Of Americana: Tommy McLain
Flor Silvestre,ranchera,15 Exitos Vol. 2 Flor Silvestre
David Lynch,jazz fusion,Lit'l Song
Ensiferum,power metal,Iron
Eluveitie,death metal,Everything Remains (As It Never Was)
Dark Party,parody,Ghostly Swim
Janet Jackson,dance pop,Rhythm Nation
Janice Vidal,cantonese pop,Wish
Albin Myers,progressive house,Times Like These
Hot Live Guys,grunge,Robbin' A Bank
Kanda Bongo Man,soukous,Djessy
MAom,glitch,Nightly Cares
Alex,new beat,Self Control
Marvin Sapp,gospel,Grace And Mercy
Eluveitie,death metal,Evocation I - The Arcane Dominion
Jo Privat,gypsy jazz,Dansez Avec Jo Privat
Steel Pulse,roots reggae,Rage and Fury
Keb'Mo',blues,Keb' Mo'
Bob Marley,reggae,Keep on Moving
Rachael Lampa,ccm,Blessed: The Best Of Rachael Lampa
Buzzcocks,new wave,French
David Zinman;Pittsburgh Symphony Orchestra,easy listening,Danielpour:  Concerto for Orchestra
