title,authors,language_code,num_pages,category
The Maps of Tolkien's Middle-earth,Brian Sibley/John  Howe/J.R.R. Tolkien,eng,80,short
The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,Ralph C. Wood,eng,169,short
The Treason of Isengard: The History of The Lord of the Rings  Part Two (The History of Middle-earth  #7),J.R.R. Tolkien/Christopher Tolkien,eng,465,large
Tolkien and C.S. Lewis: The Gift of a Friendship,Colin Duriez,eng,244,medium
Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,J.R.R. Tolkien,eng,150,short
The Lord of the Rings: The Making of the Movie Trilogy,Brian Sibley/Ian McKellen,eng,192,short
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Rob Inglis,eng,56,short
Tom's Midnight Garden,Philippa Pearce,eng,238,medium
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin/Catherine  Johnson,eng,358,medium
God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures,J.R. Hyland,eng,128,short
Lafayette,Harlow Giles Unger,eng,452,large
The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America  1800-1867,D.W. Meinig,eng,636,large
Pardonable Lies (Maisie Dobbs  #3),Jacqueline Winspear,eng,359,medium
The Glass Castle,Jeannette Walls,eng,288,medium
Suzanne's Diary for Nicholas,James Patterson,eng,289,medium
Beach Girls,Luanne Rice,eng,448,large
The Beach House (Beach House #1),Mary Alice Monroe,eng,491,large
Path of the Assassin (Scot Harvath  #2),Brad Thor,eng,367,medium
The Blind Side: Evolution of a Game,Michael   Lewis,eng,304,medium
The Blind Watchmaker,Richard Dawkins,eng,468,large
The Psychology of Winning,Denis Waitley,eng,176,short
The Acme Novelty Library #17,Chris Ware,eng,64,short
The Acme Novelty Datebook  Vol. 1  1986-1995,Chris Ware,eng,208,medium
Iran Awakening: A Memoir of Revolution and Hope,Shirin Ebadi,eng,232,medium
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,eng,438,large
The Grace Awakening: Believing in Grace Is One Thing. Living it Is Another,Charles R. Swindoll,eng,306,medium
A Study Guide to Gabriel Garcia Marquez' One Hundred Years of Solitude,Gabriel García Márquez/Brenda K. Marshall/F. Murray Abraham,eng,0,short
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,eng,448,large
One Hundred Years Of Solitude,Gabriel García Márquez,eng,416,large
The Annotated Lolita,Vladimir Nabokov/Alfred Appel,eng,457,large
Good Soldier Svejk And His Fortunes In The World,Jaroslav Hašek,eng,752,large
Three Complete Novels: The Andromeda Strain / The Terminal Man / The Great Train Robbery,Michael Crichton,eng,688,large
Holy the Firm,Annie Dillard,eng,76,short
Pygmalion & My Fair Lady,George Bernard Shaw/Alan Jay Lerner,eng,240,medium
The Metamorphosis and Other Stories,Franz Kafka/Jason Baker/Donna Freed,eng,224,medium
The Metamorphosis and Other Stories,Franz Kafka/Stanley Appelbaum,eng,88,short
Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,eng,704,large
Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,eng,230,medium
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,eng,481,large
Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,eng,208,medium
Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976,Hunter S. Thompson,eng,784,large
Dr. Seuss's ABC,Dr. Seuss,eng,21,short
Dr. Seuss's Sleep Book,Dr. Seuss,eng,58,short
Happy Birthday to You!,Dr. Seuss,eng,64,short
McElligot's Pool,Dr. Seuss,eng,64,short
The Cat in the Hat,Dr. Seuss,eng,61,short
Horton Hears a Who!,Dr. Seuss,eng,64,short
The 500 Hats of Bartholomew Cubbins,Dr. Seuss,eng,56,short
Oh Say Can You Say?,Dr. Seuss,eng,36,short
The Lorax,Dr. Seuss,eng,72,short
I Can Read With My Eyes Shut!,Dr. Seuss,eng,48,short
The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss/Various,eng,61,short
Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,Richard H. Minear/Art Spiegelman/Dr. Seuss,eng,272,medium
Dr. Seuss's ABC (Book & CD),Dr. Seuss,eng,64,short
Ten Apples Up On Top!,Theo LeSieg/Dr. Seuss/Roy McKie,eng,62,short
Pale Fire,Vladimir Nabokov,eng,246,medium
Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,eng,320,medium
Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay,Vladimir Nabokov/Brian Boyd,eng,916,large
Seduction and Betrayal: Women and Literature,Elizabeth Hardwick/Joan Didion,eng,224,medium
Another Day in Paradise: The Fourth Sherman's Lagoon Collection,Jim Toomey,eng,130,short
Another Day in Cubicle Paradise,Scott Adams,eng,128,short
Late Victorian Holocausts: El Niño Famines and the Making of the Third World,Mike  Davis,eng,474,large
No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border,Justin Akers Chacón/Mike  Davis,eng,240,medium
Days Between Stations,Steve Erickson,eng,256,medium
The Bourne Identity (Jason Bourne  #1),Robert Ludlum,eng,566,large
Little Plum,Rumer Godden/Jean Primrose,eng,144,short
Betsy and the Great World (Betsy-Tacy  #9),Maud Hart Lovelace/Vera Neville,eng,321,medium
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,eng,325,medium
Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace/Vera Neville,eng,336,medium
Betsy and Tacy Go Downtown (Betsy-Tacy  #4),Maud Hart Lovelace/Lois Lenski,eng,180,short
Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace/Vera Neville,eng,304,medium
Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,eng,352,medium
All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4),Sydney Taylor,eng,160,short
All-of-a-Kind Family (All-of-a-Kind-Family  #1),Sydney Taylor,eng,188,short
Winter Cottage,Carol Ryrie Brink,eng,178,short
Eddie's Valuable Property,Carolyn Haywood,eng,192,short
Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,eng,382,medium
High Rhulain (Redwall  #18),Brian Jacques/David Elliot,eng,341,medium
The Legend of Luke (Redwall  #12),Brian Jacques,eng,374,medium
Redwall (Redwall  #1),Brian Jacques,eng,352,medium
Mr. Bump,Roger Hargreaves,eng,32,short
Little Miss Birthday,Roger Hargreaves/Adam Hargreaves,eng,32,short
Grandma Baa (Easy Peasy People),Roger Hargreaves/Gray Jolliffe,eng,32,short
Bill Buzz,Roger Hargreaves/Gray Jolliffe,eng,32,short
Gary Grizzle,Roger Hargreaves/Gray Jolliffe,eng,32,short
Charlie Oink,Roger Hargreaves/Gray Jolliffe,eng,32,short
The Poppy Seed Cakes,Margery Clark/Maud Petersham/Miska Petersham,eng,158,short
Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett/Ron Barrett,eng,32,short
Animales No Se Visten  Los (Animals Should Definitely Not Wear Clothing) with CD,Judi Barrett/Ron Barrett,eng,32,short
Beauty,Robin McKinley,eng,325,medium
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,eng,1008,large
Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,eng,320,medium
Anne of Avonlea,L.M. Montgomery/Clare Sieffert,eng,315,medium
The Stories of Vladimir Nabokov,Vladimir Nabokov,eng,685,large
The Gift,Vladimir Nabokov/Michael Scammell/Dmitri Nabokov,eng,406,large
Lectures on Literature,Vladimir Nabokov/Fredson Bowers/John Updike,eng,385,medium
Novels & Memoirs 1941–1951: The Real Life of Sebastian Knight / Bend Sinister / Speak  Memory,Vladimir Nabokov/Brian Boyd,eng,734,large
The American Years,Brian Boyd,eng,800,large
A Woman of Substance (Emma Harte Saga #1),Barbara Taylor Bradford,eng,928,large
Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,William   Anderson/Laura Ingalls Wilder,eng,80,short
A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder,eng,352,medium
Laura Ingalls Wilder: A Biography,William   Anderson,eng,256,medium
The Laura Ingalls Wilder Country Cookbook,Laura Ingalls Wilder/William   Anderson,eng,160,short
The Erotic Phenomenon,Jean-Luc Marion/Stephen E. Lewis,eng,248,medium
The Phenomenon of Life: Toward a Philosophical Biology,Hans Jonas/Lawrence Vogel/Eleonore Jonas,eng,304,medium
Down to the Bonny Glen (Little House: The Martha Years  #3),Melissa Wiley/Renée Graef,eng,321,medium
Winter Days in the Big Woods,Laura Ingalls Wilder/Renée Graef,eng,32,short
Winter on the Farm,Laura Ingalls Wilder/Renée Graef/Jody Wheeler,eng,32,short
Summertime in the Big Woods,Laura Ingalls Wilder/Renée Graef,eng,40,short
Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,Cynthia Rylant/Jim LaMarche,eng,176,short
These Happy Golden Years (Little House  #8),Laura Ingalls Wilder/Cherry Jones/Paul Woodiel,eng,7,short
Farmer Boy (Little House  #2),Laura Ingalls Wilder/Garth Williams,eng,357,medium
Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,eng,374,medium
Christmas Stories (Little House Chapter Books: Laura  #10),Laura Ingalls Wilder/Renée Graef/Heather Henson,eng,80,short
My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier,eng,64,short
Christmas in the Big Woods,Laura Ingalls Wilder/Renée Graef,eng,32,short
The Long Winter (Little House  #6),Laura Ingalls Wilder/Garth Williams,eng,422,large
A Little House Birthday,Laura Ingalls Wilder/Doris Ettlinger,eng,40,short
The Deer in the Wood,Laura Ingalls Wilder/Renée Graef,eng,32,short
The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,Barbara M. Walker/Garth Williams,eng,256,medium
Little House on the Prairie (Little House  #3),Laura Ingalls Wilder/Garth Williams,eng,309,medium
Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder/Garth Williams,eng,198,short
Animal: The Definitive Visual Guide to the World's Wildlife,David Burnie/Don E. Wilson,eng,624,large
The Making Of Disney's Animal Kingdom Theme Park,Melody Malmberg/Walt Disney Company,eng,192,short
Tree (Eyewitness Books),David Burnie/Peter K. Chadwick,eng,64,short
Insects & Spiders,David Burnie,eng,64,short
Muhammad: A Prophet for Our Time,Karen Armstrong,eng,256,medium
The Second Sex,Simone de Beauvoir/H.M. Parshley/Margaret Crosland,eng,848,large
The Second Sex,Simone de Beauvoir/H.M. Parshley,eng,880,large
Thomas Jefferson (Oxford Portraits),R.B. Bernstein,eng,253,medium
Who Was Thomas Jefferson?,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,eng,103,short
For Kicks,Dick Francis,eng,292,medium
Reflex,Dick Francis,eng,304,medium
Bonecrack,Dick Francis,eng,304,medium
Nerve,Dick Francis,eng,320,medium
Break In (Kit Fielding  #1),Dick Francis,eng,320,medium
Straight,Dick Francis,eng,320,medium
Bolt (Kit Fielding  #2),Dick Francis,eng,288,medium
Come to Grief (Sid Halley  #3),Dick Francis,eng,384,medium
Odds Against (Sid Halley  #1),Dick Francis,eng,288,medium
Banker,Dick Francis,eng,288,medium
Whip Hand (Sid Halley  #2),Dick Francis,eng,304,medium
Come to Grief / Decider / Wild Horses,Dick Francis,eng,707,large
Odds Against,Dick Francis,eng,277,medium
Eats  Shoots & Leaves: Why  Commas Really Do Make a Difference!,Lynne Truss/Bonnie Timmons,eng,32,short
The Spice and Herb Bible,Ian Hemphill/Kate Hemphill,eng,606,large
The Ionian Mission (Aubrey/Maturin  #8),Patrick O'Brian/Simon Vance,eng,10,short
The Life of Sir Arthur Conan Doyle,John Dickson Carr/Daniel Stashower,eng,320,medium
Las aventuras de Sherlock Holmes,Arthur Conan Doyle/Javier Gomez Rea,eng,192,short
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins/Kenneth H. Blanchard/Jason Winters,eng,448,large
Jitterbug Perfume,Tom Robbins,eng,342,medium
Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3),Douglas Adams,eng,224,medium
So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,eng,167,short
The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy  #2),Douglas Adams/Martin  Freeman,eng,6,short
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,180,short
The Illustrated Hitchhiker's Guide To The Galaxy,Douglas Adams,eng,96,short
Lincoln,Gore Vidal,eng,672,large
Burr,Gore Vidal,eng,430,large
Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,eng,302,medium
Comfort Me With Apples,Ruth Reichl,eng,299,medium
The Last Temptation of Christ,Nikos Kazantzakis/Peter A. Bien,eng,506,large
The Last Temptation (Tony Hill & Carol Jordan  #3),Val McDermid,eng,496,large
The Last Temptation,Nikos Kazantzakis/Peter A. Bien,eng,589,large
Desert Flower,Waris Dirie/Cathleen Miller,eng,240,medium
Feel the Fear . . . and Do It Anyway,Susan  Jeffers,eng,217,medium
Touch & Feel: Animals Boxed Set,Jennifer Quasha/Deni Brown/Dawn Sirett,eng,36,short
Violet's House: A Giant Touch-and-Feel Book (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,eng,10,short
The Story of a Seagull and the Cat Who Taught Her to Fly,Luis Sepúlveda/Chris Sheban/Margaret Sayers Peden,eng,128,short
The Burgess Bird Book for Children,Thornton W. Burgess/Louis Agassiz Fuertes,eng,260,medium
The Burgess Animal Book for Children,Thornton W. Burgess/Louis Agassiz Fuertes,eng,275,medium
The Adventures of Jimmy Skunk,Thornton W. Burgess/Thea Kliros/Harrison Cady,eng,96,short
Earthly Powers,Anthony Burgess,eng,649,large
Saint-Exupéry,Stacy Schiff/Antoine de Saint-Exupéry,eng,560,large
A Year in the Life of William Shakespeare: 1599,James Shapiro,eng,333,medium
Who Was William Shakespeare?,Celeste Davidson Mannis/John   O'Brien,eng,105,short
World War Z: An Oral History of the Zombie War,Max Brooks,eng,342,medium
The Second World War: A Complete History,Martin  Gilbert,eng,928,large
The Complete Science Fiction Treasury of H.G. Wells,H.G. Wells,eng,0,short
The Hound of the Baskervilles,Arthur Conan Doyle/Anne Perry/Sidney Paget,eng,256,medium
The Hound of the Baskervilles (Sherlock Holmes  #5),Arthur Conan Doyle/David Timson,eng,5,short
The Hound of the Baskervilles,Arthur Conan Doyle/Pam Smy,eng,272,medium
Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,eng,320,medium
Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver/Marion Deuchars/David Loftus/Chris Terry,eng,336,medium
The Lake of Souls (Cirque du Freak #10),Darren Shan,eng,272,medium
Freak the Mighty (Freak The Mighty  #1),Rodman Philbrick,eng,169,short
Vampire Mountain (Cirque Du Freak  #4),Darren Shan,eng,208,medium
Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),D.C. Talk/The Voice of the Martyrs,eng,383,medium
Trials of Death (Cirque Du Freak  #5),Darren Shan,eng,202,medium
Live Like a Jesus Freak: Spend Today as If It Were Your Last,D.C. Talk,eng,184,short
Freaks!: How to Draw Fantastic Fantasy Creatures,Steve  Miller,eng,144,short
Hello Cruel World: 101 Alternatives to Suicide for Teens  Freaks  and Other Outlaws,Kate Bornstein/Sara Quin,eng,234,medium
The Long Walk: The True Story of a Trek to Freedom,Sławomir Rawicz,eng,256,medium
The Long Walk,Richard Bachman/Stephen King,eng,370,medium
Long Walk to Freedom: Autobiography of Nelson Mandela,Nelson Mandela/Kofi Annan/Danny Glover,eng,6,short
The Historian's Craft: Reflections on the Nature and Uses of History and the Techniques and Methods of Those Who Write It.,Marc Bloch/Peter Putnam/Joseph Reese Strayer,eng,224,medium
Charles Dickens as a Legal Historian,William Holdsworth,eng,166,short
In a Dry Season (Inspector Banks  #10),Peter Robinson,eng,480,large
In Focus: National Geographic Greatest Portraits,Leah Bendavid-Val/National Geographic Society,eng,504,large
The Portrait of Dorian Gray,Oscar Wilde/Elizabeth  Gray,eng,51,short
The Picture of Dorian Gray,Oscar Wilde/Donald L. Lawler,eng,462,large
The Picture of Dorian Gray,Oscar Wilde/Joseph Bristow,eng,229,medium
Technical Manual and Dictionary of Classical Ballet,Gail Grant,eng,176,short
The Ballet Companion: A Dancer's Guide to the Technique  Traditions  and Joys of Ballet,Eliza Gaynor Minden,eng,333,medium
NYC Ballet Workout,Peter Martins/Paul Kolnik/Richard Corman/Howard  Kaplan,eng,208,medium
The Illustrated Book of Ballet Stories (with CD),Barbara  Newman/Gill Tomblin/Darcey Bussell,eng,64,short
Lara's Leap of Faith (The Royal Ballet School Diaries  #2),Alexandra Moss/Veronica Bennett,eng,144,short
Isabelle's Perfect Performance (The Royal Ballet School Diaries  #3),Alexandra Moss,eng,144,short
The Barefoot Book Of Ballet Stories,Jane Yolen,eng,96,short
Ballet for Dummies,Scott Speck/Evelyn Cisneros,eng,348,medium
Teaching Classical Ballet,John               White,eng,200,short
The Smoke Jumper,Nicholas Evans,eng,576,large
Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,eng,200,short
Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,eng,200,short
The House of the Spirits,Isabel Allende/Magda Botin,eng,491,large
The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,eng,488,large
Skinny Legs and All,Tom Robbins,eng,422,large
Fannie Flagg's Original Whistle Stop Cafe Cookbook,Fannie Flagg,eng,224,medium
Free Play: Improvisation in Life and Art,Stephen Nachmanovitch,eng,224,medium
The Basic Works of Aristotle,Aristotle/Richard Peter McKeon/C.D.C. Reeve,eng,1487,large
Fear and Trembling and The Sickness Unto Death,Søren Kierkegaard/Walter Lowrie,eng,420,large
The Complete Collected Poems,Maya Angelou,eng,273,medium
Preface to the Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel/Yirmiyahu Yovel,eng,223,medium
Hegel's Phenomenology of Spirit,Martin Heidegger/Kenneth Maly/Parvis Emad,eng,176,short
Plato: Complete Works,Plato/John M. Cooper/Benjamin Jowett/Dorothea Frede/Alexander Nehamas/Paul Woodruff/Anthony Kenny/Rosamond Kent Sprague/Nicholas D. Smith/Karen Bell/D.S. Hutchinson/Donald J. Zeyl/Francisco J. González/Diskin Clay/Malcolm Schofield/Glenn R. Morrow/Jonathan Barnes/G.M.A. Grube/Brad Inwood/Mark Joyal/Jackson P. Hershbell/J.M. Edmonds/C.D.C. Reeve/Myles Burnyeat/Nicholas P. White/Mary Louise Gill/C.J. Rowe/Stanley Lombardo/David Gallop/Jeffrey Mitscherling/Richard D. McKiharan Jr./Andrew S. Becker/Mark Reuter/M.J. Levett/Paul        Ryan,eng,1838,large
A Guided Tour of 5 Works by Plato: Euthyphro/Apology/Crito/Phaedo/Cave,Christopher Biffle/Plato,eng,125,short
Within a Budding Grove (In Search of Lost Time  #2),Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright,eng,749,large
Exclusion & Embrace: A Theological Exploration of Identity  Otherness  and Reconciliation,Miroslav Volf,eng,306,medium
A Time to Embrace (Timeless Love  #2),Karen Kingsbury,eng,400,medium
The Book of Embraces,Eduardo Galeano/Cedric Belfrage/Mark Schafer,eng,288,medium
Experiencing Father's Embrace,Jack Frost,eng,256,medium
Memory's Embrace (Corbins  #3),Linda Lael Miller,eng,320,medium
Virginia Woolf: An Inner Life,Julia Briggs,eng,544,large
Persepolis: The Story of a Childhood (Persepolis  #1),Marjane Satrapi/Mattias Ripa,eng,153,short
Persepolis 2: The Story of a Return (Persepolis  #2),Marjane Satrapi/Anjali Singh,eng,187,short
The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón/Lucia Graves,eng,520,large
Peter and the Shadow Thieves (Peter and the Starcatchers  #2),Dave Barry/Ridley Pearson/Greg Call,eng,557,large
Ender's Shadow (The Shadow Series  #1),Orson Scott Card,eng,469,large
Shadow Dance (Buchanan-Renard  #6),Julie Garwood,eng,336,medium
The Shadow Rising (The Wheel of Time  #4),Robert Jordan,eng,1007,large
Owning Your Own Shadow: Understanding the Dark Side of the Psyche,Robert A. Johnson,eng,118,short
In Praise of Shadows,Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker,eng,73,short
Shadow of the Almighty: The Life and Testament of Jim Elliot,Elisabeth Elliot,eng,272,medium
Shadow Game (GhostWalkers  #1),Christine Feehan,eng,323,medium
Still Life with Woodpecker,Tom Robbins,eng,288,medium
Mother Night,Kurt Vonnegut Jr.,eng,282,medium
Cat's Cradle/God Bless You Mr. Rosewater/Breakfast of Champions,Kurt Vonnegut Jr.,eng,527,large
Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,eng,912,large
Classic Stories 1: The Golden Apples of the Sun/R is for Rocket,Ray Bradbury,eng,348,medium
The Best of Ray Bradbury,Ray Bradbury/Dave Gibbons/Richard Corben/Mike Mignola,eng,162,short
Essays,George Orwell/John Carey,eng,1369,large
Why I Write,George Orwell,eng,120,short
Homage to Catalonia,George Orwell/Lionel Trilling,eng,232,medium
The Orwell Reader: Fiction  Essays  and Reportage,George Orwell/Richard H. Rovere,eng,480,large
If on a Winter's Night a Traveler,Italo Calvino/William Weaver/Peter Washington,eng,254,medium
Gabriel Garcia Marquez's Love in the Time of Cholera: A Reader's Guide,Thomas Fahy,eng,188,short
The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,eng,320,medium
Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,eng,432,large
The Art of War,Mao Zedong,eng,328,medium
Oracle Bones: A Journey Between China's Past and Present,Peter Hessler,eng,512,large
Wild Swans: Three Daughters of China,Jung Chang,eng,666,large
Women Who Love Too Much,Robin Norwood,eng,314,medium
Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,eng,304,medium
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,eng,284,medium
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,eng,397,medium
Our Ancestors: The Cloven Viscount  The Baron in the Trees  The Non-Existent Knight,Italo Calvino,eng,393,medium
Crossing to Safety,Wallace Stegner/Terry Tempest Williams/T.H. Watkins,eng,368,medium
King Rat (Asian Saga  #4),James Clavell,eng,368,medium
Julius Knipl  Real Estate Photographer: The Beauty Supply District,Ben Katchor,eng,120,short
The Wizard of Oz,Salman Rushdie/Richard Maltby/Melvyn Bragg,eng,69,short
Jesus' Son,Denis Johnson,eng,192,short
The Throne of the Third Heaven of the Nations Millennium General Assembly: Poems Collected and New,Denis Johnson,eng,225,medium
A Christmas Memory,Truman Capote,eng,48,short
In Cold Blood,Truman Capote/Bob Colacello,eng,343,medium
The Grass Harp  Including A Tree of Night and Other Stories,Truman Capote,eng,272,medium
From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews,Rudolph R. Windsor/El Hagahn,eng,151,short
Youth in Revolt: The Journals of Nick Twisp,C.D. Payne,eng,512,large
And I Don't Want to Live This Life: A Mother's Story of Her Daughter's Murder,Deborah Spungen,eng,408,large
Flags of Our Fathers,James D. Bradley/Ron Powers,eng,382,medium
Flags of Our Fathers: A Young People's Edition,Michael R. French/Ron Powers/James D. Bradley,eng,224,medium
Mary Queen of Scots,Antonia Fraser,eng,568,large
Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,eng,640,large
River of Blue Fire (Otherland  #2),Tad Williams,eng,675,large
Mountain of Black Glass (Otherland  #3),Tad Williams,eng,749,large
The Children of Henry VIII,Alison Weir,eng,385,medium
The Last Days of Henry VIII,Robert Hutchinson,eng,368,medium
The Autobiography of Henry VIII: With Notes by His Fool  Will Somers,Margaret George,eng,939,large
The Memoirs of Cleopatra,Margaret George,eng,1139,large
Saint George and the Dragon,Margaret Hodges/Trina Schart Hyman,eng,32,short
The Complete Sherlock Holmes  Volume I,Arthur Conan Doyle/Kyle Freeman,eng,709,large
The Complete Sherlock Holmes  Volume II,Arthur Conan Doyle/Kyle Freeman,eng,709,large
The Devil's in the Details (A Camilla MacPhee Mystery  #4),Mary Jane Maffini,eng,320,medium
The SantaLand Diaries and Season's Greetings,David Sedaris/Joe Mantello,eng,54,short
View With a Grain of Sand: Selected Poems,Wisława Szymborska/Stanisław Barańczak/Clare Cavanagh,eng,214,medium
View with a Grain of Sand: Selected Poems,Wisława Szymborska,eng,214,medium
Poems New and Collected,Wisława Szymborska/Clare Cavanagh,eng,296,medium
Sounds  Feelings  Thoughts:  Seventy Poems by Wislawa Szymborska,Wisława Szymborska/Magnus J. Kruyski,eng,232,medium
Miracle Fair: Selected Poems,Wisława Szymborska/Joanna Trzeciak/Czesław Miłosz,eng,159,short
Jane Eyre,Charlotte Brontë/Michael Mason,eng,532,large
The Far Pavilions,M.M. Kaye,eng,0,short
Enchanted Evening,M.M. Kaye,eng,368,medium
Pathologies of Power: Health  Human Rights and the New War on the Poor,Paul Farmer/Amartya Sen,eng,438,large
Infections and Inequalities: The Modern Plagues,Paul Farmer,eng,424,large
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer  a Man Who Would Cure the World,Tracy Kidder,eng,333,medium
The Early History of God: Yahweh and the Other Deities in Ancient Israel,Mark S. Smith/Patrick D. Miller,eng,243,medium
The World's Religions,Huston Smith,eng,416,large
FDR's Folly: How Roosevelt and His New Deal Prolonged the Great Depression,Jim  Powell,eng,352,medium
Mandy,Julie Andrews Edwards/Johanna Westerman,eng,320,medium
Giraffes Can't Dance,Giles Andreae/Guy Parker-Rees/Hugh Laurie,eng,32,short
Where the Red Fern Grows with Connections,Wilson Rawls/Rafe Martin/Borden Deal/Kemp P. Battle/Robert Bethke/Harold Courlander/Maya Angelou/Nicholasa Mohr/Dick Perry/John R. Erickson,eng,288,medium
Summer of the Monkeys,Wilson Rawls,eng,288,medium
Hands Are Not for Hitting (Ages 4-7),Martine Agassi/Marieka Heinlen,eng,35,short
Not So Big House,Sarah Susanka/Kira Obolensky,eng,208,medium
Too Far to Go: The Maples Stories,John Updike,eng,256,medium
The New Whole Foods Encyclopedia: A Comprehensive Resource for Healthy Eating,Rebecca  Wood/Paul Pitchford,eng,464,large
Postscript to the Name of the Rose,Umberto Eco,eng,84,short
A Theory of Semiotics,Umberto Eco,eng,368,medium
The Role of the Reader: Explorations in the Semiotics of Texts,Umberto Eco,eng,288,medium
Libraries,Candida Höfer/Umberto Eco,eng,271,medium
The Long-Lost Map (Ulysses Moore #2),Pierdomenico Baccalario/Iacopo Bruno/Leah D. Janeczko,eng,272,medium
The Three Musketeers,Alexandre Dumas/Barbara T. Cooper,eng,761,large
The Three Musketeers,Alexandre Dumas/Michael Page,eng,24,short
The Three Musketeers (Great Illustrated Classics),Malvina G. Vogel/Alexandre Dumas,eng,236,medium
The Three Musketeers (The d'Artagnan Romances. #1),Alexandre Dumas/Keith Wren,eng,592,large
King Arthur Flour Whole Grain Baking: Delicious Recipes Using Nutritious Whole Grains,King Arthur Flour,eng,544,large
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,eng,969,large
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,eng,11,short
The Shining,Stephen King/Campbell Scott,eng,16,short
The Illustrated Stephen King Trivia Book,Brian James Freeman/Bev Vincent/Glenn Chadbourne,eng,404,large
Black House (The Talisman  #2),Stephen King/Peter Straub,eng,688,large
Misery,Stephen King,eng,370,medium
